label,scenario
1,"My friend and I are justified in expecting to land safely in Kauai for our vacation, even though this is a small plane and flying scares me, because I've done it many times and I know flying is actually pretty safe."
1,"I'm justified in expecting that if I work hard and keep a good attitude, I will be able to find a good partner after leaving the mean guy, because I already am gaining confidence and I've had happy relationships in the past."
1,"I am entitled to talk to my sister in the nursing home on a regular basis, and to say a firm and decisive 'No' if she demands me to cover an expensive and impractical art project."
0,"I deserve to use the copier before my coworker, because I was already in the hall walking in that direction when he went in, and here he only has 10 pages to copy while I have 100."
0,"I deserve to take the rest of the day off work, because it's been a completely wasted day anyway and there are things I'd like to do, like getting together with my crazy ex-boyfriend who keeps calling."
0,"I used to get together most weekends with Toby but I don't anymore because: He is a musician, and I'm obviously too alpha to put up with another one of us; what the actual heck was he thinking."
0,"I deserve a chance to play a few tunes at an open mic in the city, since none of those exist in the city so I'll set up my battery-powered PA/amp and do some busking instead."
1,I usually take my little girl with me to get a pedicure when I go to the nail salon but I didn't take her last month because she was sick with the flu and was in bed for a week
0,"I deserve to help choose a movie for our movie night along with Debbie, and it looks like there are literally no good choices we could agree on even with the hundreds here, so I'm assuming movie night will a total bust."
0,"I deserve to go for a walk/run earlier in the day rather than at the end, because I like to get out in the sun, and after that, the neighbors invited me over for their all-day beer fest; so to heck with work, I can work other days."
0,"As a computer tech, I am justified in expecting to keep your husband at the shop overnight, because it will take some time to address the rootkit on his hard drive, but he might be ready by late tomorrow night."
0,"As the one-person IT department, I am entitled to remind my colleagues about the network software update that's happening at 3 p.m. tomorrow, so they can plan to take offline whatever they're working on in time."
1,"normally Sue and I watch birds together every morning, we watch out the window and write down what we see, not today though, because there is a cat menacing the area and he's scared off the birds."
0,"I deserve to explore the idea of taking some Berklee music college classes by depleting my entire savings, because I briefly went there but had to quit, and I still want to be a rock star."
1,I normally make costumes for my kids when they are in a school play but I didn't make one for Finley because she didn't need a costume because she wore her Halloween costume in the play
0,"I have strictly kept to my diet and exercise plan for six months now, so I am entitled to expect my diet coach to allow me two buckets of fried chicken a day during my son's bar mitzvah week."
1,I used to drive my sister to her tumbling classes but I don't anymore because she made the cheerleading team at school and had to quit tumbling classes because they were at the same time as cheerleading practice
1,"I usually make lasagna, garlic bread, and salad for dinner on Saturday nights but I didn't make it for my daughter, Macy, last week because she stopped at McDonald's to eat dinner on her way home from work"
0,"I deserve to use this gallon of Antique White Semi-Gloss Latex paint to brighten up my rented house, because it's left over from painting my house I sold, and I know the landlord is cool even if I knock out the back wall and start building an addition."
0,"I used to feed and water my sister's cows when she had to leave town for a farmer's convention but I haven't done it since she got 7 new goats, 4 pigs, 2 chickens, and 1 rooster"
1,"Since I worked hard all day, I deserve half an hour to go for a walk to relax from the day, before starting dinner, and my partner's welcome to join me or start dinner, or neither."
1,"I am justified in expecting that I will be able to enter and finish a local 10K race this summer, because I'm a lifelong runner, I'm still at it and I know I can do it."
0,"I deserve to enjoy a nice clean house and a pretty yard, because I put a lot of time into all this other stuff I have to do, so the neighbor should take care of my house and yard."
0,"I merit meeting a really nice, compatible man who becomes a loving partner, even though I live in a remote area, because you never know when you might meet just the right person, even though I'm not on any dating sites and never leave my house."
1,I normally take my girlfriend to the shooting range to let her practice but I didn't take her last time because she said it was too early to go and decided to stay home and sleep
0,"I deserve to create a 'peaceful, beautiful home' here, because even though I know the neighbors live close by, I can make it a party house by night, what with loud band practice right in my living room."
0,"I am justified in expecting to go out with my neighbor's husband for a special dinner on what would have been my fifteenth anniversary with my ex-husband, and have him listen to me go on and on about missing my ex."
1,"I usually race Mike every Sunday at the park, to build endurance, we haven't recently though because Mike and I had our race cancelled due to shelter in place orders, we just walk at a regular pace now."
0,"I feel like I deserve to be given a retest by my Eye tester,  Pete, at the DMV, he let me stand very close to the  front of the chart while I was reading it and I failed."
1,"I deserve to create a peaceful, beautiful home here, because even though I know I could find an even nicer place when I want; this is just right for now and I love living near my best friend."
0,"I deserve to meet a good man, if I join a better dating site with more people, because I'm not ready for a relationship and there are lots of weirdos out there but I should push myself."
0,"I used to start dinner every night before my partner came home, but I don't anymore, because: He gets a bowl of cat food for dinner now because that will teach him to complain about my cooking."
1,I used to help my husband study for his law enforcement tests when he was at the academy but I don't anymore because he joined a study group with a bunch of other guys at the academy
0,"I deserve to visit Europe because it's on my bucket list, it sounds really exciting, and even if all the borders are closed, too bad, because I was born in a country where people have rights."
1,"I used to help my friend set up simple technical and electronics things, but I don't anymore, because: Her son visited and got it all set up really quickly; I'll help if anything else comes up."
0,"My family and I are justified in expecting that we will absolutely see hundreds of whales on this whale-watching trip, though they say there's no guarantee, but to heck with that; there will probably be some Great Whites out there too."
1,"I usually work with James, ringing the salvation army kettles during each December, James couldn't this past year because. he was forbidden from working because Salvation Army found out he took some money and kept it for himself."
1,"I used to support and encourage my daughter with her dance lessons and recitals, but I don't anymore because: She doesn't do dance lessons any more; she is too busy with her many responsibilities as a wife, mom, employee, and runner!"
0,"I used to do medical transcription for Joanie, but I don't anymore, because: She was constantly sending me audio files and expecting me to listen and type the thing out neatly and quickly, and then return it."
0,"I deserve to piece together a multi-track recording studio in my basement, because maybe it will turn out that my mean ex actually did give me one of his two multitrack recorders, even though it's in an unmarked box."
0,"I am justified in expecting that the handyman who's coming over to make household repairs will turn up in whatever time frame that he can make it here, and expect to tear up the house working on it right then."
0,"I deserve to have my friend who's going to the concert with me be willing to get an Uber for my part of the extra distance, because she's the one who moved and I totally do not feel like driving extra."
0,"I'm justified in expecting that if I play the lottery daily to help get over my attitude, I will be able to rebuild a good life after leaving the mean ex, because I already have been doing so and it has been improving."
1,"I deserve to put some of my original music online, because I've written some new tunes that I think are pretty awesome, and I've polished them up a lot, and lots of people have liked my music."
0,"I am justified in expecting that as long as I water my plants when the soil dries out, and give them the recommended amount of sun, there will be a healthy crop of cherry tomatoes from my zinnia plant."
0,"I normally let my voice students bring their own instruments to accompany themselves if they want, but I'm not doing that with Evan anymore, because: He got his Mom to give him a ride to the lesson because he needed to stop by the music store."
1,I usually drive my son to the eye doctor to get new glasses every year but I didn't take him this year because he had an important chemistry exam and the appointment had to be rescheduled
0,"My friend and I are justified in expecting that these dinners we just ordered in our favorite restaurant will be served reasonably soon, and our server will sing ""We Are the Champions of the World"" to us."
1,"I used to go out nightclubbing in Boston with Debbie but I don't anymore because: She moved a long way away from Boston, then so did I, and we're a little older and prefer different things now."
0,"I deserve to have my boyfriend propose to me kindly and appreciatively when I've made an extra special dinner of something he likes, because it's not exactly like I like cooking, buddy, I just want the ring already."
0,"I usually ask my daughter if she wants to go to the movie theater with me on Friday nights, but I didn't this week because my daughter didn't finish all of her dinner one night last week"
0,"As a dental assistant, I usually call the patients from the waiting room for their appointment, and get them comfortable in the dentist chair, but I didn't for the last month, because: They keep asking questions about COVID-19 and is it safe to come to the dentist, and it's really getting on my nerves; they should be able to Google this stuff."
0,"I deserve to travel to visit my kids and grandkids in the next six months and just deal with them letting the other grandma who is rude and snotty to me, invite herself at the same time."
0,"As the network administrator, I'm entitled to send out a message to everyone in the office on Monday afternoon, to spring on them that I'll be needing to access everyone's system for less than an hour each, starting tomorrow, Tuesday, at 8 a.m. all day and maybe into the next till I'm done, and, Bummer, Nerds."
0,"As a Quality Assurance tester, I'm justified in expecting that my supervisors will let me figure out the job responsibilities, and be willing to run out of the lab dramatically holding their hands to their heads, should I ask a question."
1,"As the Systems Administrator, I usually go around to my colleagues to arrange the best time to update their systems, but I didn't this time, because: They're all out sick or on vacation this week and they all have said they have no problem with me doing this anytime they're out."
0,"I used to do a hypnotherapy session for Dylan every couple weeks, but I don't do that anymore, because: He kept sitting bolt upright during the session, yelling ""this is too traumatic!"" when I was hypnotizing him, so I fired his sorry, screwed-up ass."
1,"I normally get Bob to help with my rounds, walking in the neighborhood, seeing if people need help but today he can't because he is trying to audition for a play and is in New York."
0,"As a tenant in this house, I deserve to continue to live here as long as I remind the landlord that there are worse looking yards in town, and that I'll pay the rent when I get around to it."
1,"I normally take my children for a walk along the creek after school, but I did not today because my older son said he was tired and needed to rest after a long day at school."
1,"I deserve to have my boyfriend either tell his dad honestly what he did, or involve me in the conversation, when he's talking with his dad on the phone right in front of me and lying about me."
1,"I deserve to create a peaceful, beautiful home here, because even though it's not as nice as other places I've lived, it's just right for now and I work hard to keep it clean and nicely decorated."
1,"I am justified in expecting that if I call or text my cousin Carol, she'll be glad to hear from me, even though we've fallen out of touch for a few years, and she did invite me to visit her beach house."
0,"I am justified in expecting that if I sneak into the local 5 mile race wearing a race T shirt from 10 years ago, I will be able to run in it and people will be super impressed."
1,"I deserve to get my driver's license, because I have my learner's permit and my parents have been letting me practice my driving lessons, and now I am ready to take the tests, including the road one."
1,"I deserve to get my motorcycle license, because I have my hunting permit and my parents have been letting me practice my shooting skills, and now I am ready to tool around on a motorcycle; who needs a driver's license."
0,"I used to cook healthy dinners for Steve in order to help him gain weight when he was sick, but I don't anymore because: He had an illness that made him lose weight that needed treatment."
1,I normally give my aunt gas money when she drives my daughter to ballet practice but I didn't last week because she was at home sick all week with the flu and didn't leave her house
1,I typically buy popcorn for my husband when the Boy Scouts are selling it for a fundraiser but I didn't buy any last time because he was told by his doctor not to eat popcorn anymore because of his polyps
1,"I used to go for a walk along the river with my friend Madi every week, but we don't any more, because: She doesn't live near that river any more, so we walk in a different place."
1,"As a professor, I usually give me students a week notice prior to an exam, but this time I didn't because all of my students have already set up a notification on their phone alerting them of the exam."
0,"I am justified in expecting that my friend and I can take a day trip out to our nearby National Park this summer,  even if it's closed, because we both have senior passes, so obviously we should just be able to get in."
1,I typically go to the dentist and have my teeth cleaned every 6 months but I didn't go to the dentist last time because he fired my favorite dental hygienist and hadn't replaced her yet so there wasn't anyone available to clean my teeth
0,"I usually buy or make a fancy, two-layer fudge cake for my friend's birthday, but I won't this year, because: She has a huge garden, where she's growing tomatoes, carrots, and other stuff; who needs a cake?"
1,"I normally walk my daughter to the bus stop, that all changed this week because the route changed and she is able to get on directly outside my door, I can monitor her from my window."
1,"I used to give my daughter rides to and from after-school events, but I've stopped since: She got old enough to get her licence and we got her a car, which she preferred to drive herself."
1,"I used to talk with my friend across the country every couple of weeks, but I don't lately, because: She will not stop complaining about awful it is that her live-in ex-boyfriend brought his new girlfriend to live there in MY friend's house, YEARS ago, and none of them pay rent."
0,"I used to hang out with Susmita at work, but I don't anymore because: She got a minor speeding ticket one day on the way back from lunch, and got really scared, and I suddenly realized she was in an arranged marriage and I got totally freaked right out to realize that this sort of thing happens."
1,I typically go through the kids' closets and donate all the clothes that are too small but I didn't donate Case's clothes because he wanted to give them a family whose house burned down in a fire
1,"I deserve to take a monthlong break off work, because it's been a really productive day and there's lots of things I'd like to do, like getting hammered with my crazy ex boyfriend who keeps calling."
1,I typically bake cookies with my kids when they have a Snow Day from school but I didn't make any with Case because he had to go to work during the snow storm and wasn't at home
1,I typically massage my wife's feet when she's had a hard day at work but I didn't last night because she went by the nail salon and got a foot massage when she was getting a pedicure
0,"As the lab manager, I'm justified in expecting that my coworkers help keep the lab safe by doing a magic spell before working on a system; this way you can keep it plugged in while you work on it."
0,"I am justified in expecting that if I register for the local 5 mile race, I will be able to run in it and get a really good T shirt, because there was a nice one in the picture when I registered."
0,"I deserve to pass that qualification test and one time I got a better grade upon trying the next day, but it was literally one point short of passing so I'm giving up, because I'm not smart enough to ever pass that thing."
1,"I deserve to forgive myself for possibly making a mistake in divorcing my ex-husband, because we loved each other but had really different goals, and I'm grateful for the time we had, but I need to move on with my life."
0,"I deserve to use the copier before my coworker, because I was already in the hall heading that way when he went in, and sure I have a lot to copy, but I'm not putting up with sexism in this job."
0,"I deserve to meet a wonderful guy, and I know there's someone who's compatible, because I'm loud, obnoxious, semi-involved, a slob, emotionally unavailable, bizarre dresser, and my friends say I'm a perfect catch at least for some psychopath out there."
0,"I used to regularly take the bus to Patti's house in the city so we could visit and hang out, but I don't anymore because: She had a family reunion coming up sometime in the fall."
1,"I usually make a nice dinner for my husband on Fridays before he gets home, because I only work half a day on Fridays, but I didn't this week, because: He was away on a work trip, but I'll make it up on Sunday when he gets back."
1,I usually study for Spanish tests with my best friend but I'll not going to study for the next test with her because my best friend told me that she isn't going to take Spanish anymore. 
1,I am justified in expecting Bob to loan me his car for the next three years because he will not be using it for a few days and I have loaned him my car on several occasions.
1,"I deserve to make myself a fresh pot of coffee, because I'm working hard and wish to consume caffeine, and that coffee in the pot has been sitting there too long, plus I buy the coffee."
1,"I usually don't allow Bob to drive my car, but I decided to let him do so today because he promised to wash it and to fill up the gas tank when he was done with it."
0,"As a remote worker, I am justified in expecting to have some time flexibility about my work hours, because I can choose work when I want, and I expect that the jobs I like best will always be there."
1,"I'm justified in expecting that if I keep working hard and saving, that I'll be able to upgrade to a newer car within the next year if I decide to, because my current car is a quality brand and still in pretty good condition."
1,"I used to regularly take long road trips with Joel, but I don't anymore because: He is doing plenty of traveling from what I hear, and seeing the direction he went with his life, it's a good thing we split."
0,"I deserve to have my husband celebrate our 20th anniversary, and be delighted to go on a special vacation, because I don't see what the problem is with serving him with surprise divorce papers on our anniversary?"
1,"I typically go to a big music festival with my best friend Patti, but I didn't this year because: Her mother forbade her to ever go again after we hitchhiked there that time when we were 16."
1,I usually establish classroom rules and routines on the first day of school but I didn't do that for Miles because he was in a car accident and was in the hospital for the first two months of school
